Gender,Electronic accessories,Fashion accessories,Food and beverages,Health and beauty,Home and lifestyle,Sports and travel
Female,27102.0225,30437.4,33170.9175,18560.9865,30036.8775,28574.720999999998
Male,27235.509,23868.495,22973.9265,30632.7525,23825.0355,26548.105499999998
